unix_s	scenario_id	engaged	dist_m	route_completion	done	out_of_road	goal_reached
1774031496.38842	scene-0103	false	115.19465655765883	0.021635258768968966	false	false	false
1774031498.9763753	scene-0103	false	113.94574007949363	0.032406391481056646	false	false	false
1774031500.6235986	scene-0103	false	113.11521754831693	0.039572699430957994	false	false	false
1774031503.021125	scene-0103	false	111.87251423154586	0.05028907144056156	false	false	false
1774031504.655275	scene-0103	false	111.04610228133204	0.05742198023872801	false	false	false
1774031506.3356934	scene-0103	false	110.22134243135883	0.06454257071616078	false	false	false
1774031508.714096	scene-0103	false	108.98731308634052	0.07515245242981702	false	false	false
1774031511.088397	scene-0103	false	107.75703236943414	0.08576890035561728	false	false	false
1774031512.6592305	scene-0103	false	106.9389368715036	0.09283113819742303	false	false	false
1774031515.1085837	scene-0103	false	105.71494096518538	0.10335258099707394	false	false	false
1774031516.725282	scene-0103	false	104.90104997339684	0.1103776025852959	false	false	false
1774031518.3477504	scene-0103	false	104.08884821157046	0.11732695301175698	false	false	false
1774031520.8154614	scene-0103	false	102.87372659263262	0.12781153163539027	false	false	false
1774031522.5337548	scene-0103	false	102.06577203971503	0.13478589571894994	false	false	false
1774031524.9235547	scene-0103	false	100.85704447810804	0.14501377134434162	false	false	false
1774031526.6337008	scene-0103	false	100.05336915967985	0.15193679326129506	false	false	false
1774031529.004139	scene-0103	false	98.85108551996501	0.16229835024659398	false	false	false
1774031530.7194698	scene-0103	false	98.05172373777542	0.16919074454012423	false	false	false
1774031533.1720655	scene-0103	false	96.85593767736967	0.17934376148633166	false	false	false
1774031534.817199	scene-0103	false	96.06092795823632	0.1861933701114562	false	false	false
1774031536.4254355	scene-0103	false	95.26766928161214	0.19284465181268365	false	false	false
1774031538.9608328	scene-0103	false	94.08107782931984	0.2030580129661424	false	false	false
1774031540.4843035	scene-0103	false	93.29222489633007	0.20985166811524297	false	false	false
1774031542.893724	scene-0103	false	92.11227940781953	0.21955664377800263	false	false	false
1774031544.5137703	scene-0103	false	91.32787970720739	0.2262911833393823	false	false	false
1774031546.8654745	scene-0103	false	90.15464375604502	0.23637021831666688	false	false	false
1774031549.333655	scene-0103	false	88.98547035812425	0.24642190232992364	false	false	false
1774031550.9038785	scene-0103	false	88.2082933566864	0.25287228363347997	false	false	false
1774031553.233998	scene-0103	false	87.0459529864949	0.26260643210596857	false	false	false
1774031554.8353472	scene-0103	false	86.27335662523525	0.26923737990026936	false	false	false
1774031557.3040602	scene-0103	false	85.11793104919398	0.279161099022465	false	false	false
1774031558.8842175	scene-0103	false	84.34997573416486	0.28576176153585375	false	false	false
1774031561.2341301	scene-0103	false	83.20155748411419	0.29538481589702037	false	false	false
1774031562.8143554	scene-0103	false	82.43830270408164	0.3019447237502867	false	false	false
1774031564.4037719	scene-0103	false	82.05738706681238	0.30522014271978165	true	true	false
